id,tenant_id,name,code,department_id,grade_id,is_elective,credits,description,created_at,updated_at
0194f3a2-9001-7a1b-9cde-111100000001,0194f3a2-1000-7a1b-9cde-123456789abc,English,ENG101,019e7b12-b66b-7af9-be4f-813ffd7f61cb,,false,5.0,Core English language & literature,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000002,0194f3a2-1000-7a1b-9cde-123456789abc,Hindi,HIN101,019e7b12-b66b-7af9-be4f-813ffd7f61cb,,false,5.0,Hindi language,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000003,0194f3a2-1000-7a1b-9cde-123456789abc,Mathematics,MAT101,019e7b12-b66b-73ff-a41d-3a3dca69dc92,,false,6.0,Core Mathematics,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000004,0194f3a2-1000-7a1b-9cde-123456789abc,General Science,SCI101,019e7b12-b66b-7ba5-8e5f-48c6a673bba0,,false,6.0,"General Science (Physics, Chemistry, Biology)",2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000005,0194f3a2-1000-7a1b-9cde-123456789abc,Social Studies,SST101,019e7b12-b66b-76d2-95b9-e7410905a526,,false,5.0,"History, Geography, Civics",2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000006,0194f3a2-1000-7a1b-9cde-123456789abc,Computer Science,CS101,019e7b12-b66b-7151-8aa5-0b47677e29be,,true,4.0,Introduction to Computers,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000007,0194f3a2-1000-7a1b-9cde-123456789abc,Physical Education,PE101,019e7b12-b66b-7fa3-adf6-9dff8001103e,,false,2.0,Sports and health,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000008,0194f3a2-1000-7a1b-9cde-123456789abc,Physics,PHY201,019e7b12-b66b-7ba5-8e5f-48c6a673bba0,0194f3a2-6002-7a1b-9cde-dddd00000013,false,6.0,Physics for Grade 9,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000009,0194f3a2-1000-7a1b-9cde-123456789abc,Chemistry,CHE201,019e7b12-b66b-7ba5-8e5f-48c6a673bba0,0194f3a2-6002-7a1b-9cde-dddd00000013,false,6.0,Chemistry for Grade 9,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000010,0194f3a2-1000-7a1b-9cde-123456789abc,Biology,BIO201,019e7b12-b66b-7ba5-8e5f-48c6a673bba0,0194f3a2-6002-7a1b-9cde-dddd00000013,false,6.0,Biology for Grade 9,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000011,0194f3a2-1000-7a1b-9cde-123456789abc,Physics,PHY202,019e7b12-b66b-7ba5-8e5f-48c6a673bba0,0194f3a2-6002-7a1b-9cde-dddd00000014,false,6.0,Physics for Grade 10,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000012,0194f3a2-1000-7a1b-9cde-123456789abc,Chemistry,CHE202,019e7b12-b66b-7ba5-8e5f-48c6a673bba0,0194f3a2-6002-7a1b-9cde-dddd00000014,false,6.0,Chemistry for Grade 10,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000013,0194f3a2-1000-7a1b-9cde-123456789abc,Mathematics (Advanced),MAT202,019e7b12-b66b-73ff-a41d-3a3dca69dc92,0194f3a2-6002-7a1b-9cde-dddd00000015,true,6.0,Advanced Mathematics for Grade 11,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000014,0194f3a2-1000-7a1b-9cde-123456789abc,Accountancy,ACC301,019e7b12-b66b-74e6-a839-833bba4e0ebd,0194f3a2-6002-7a1b-9cde-dddd00000015,true,6.0,Accountancy for Grade 11,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
0194f3a2-9001-7a1b-9cde-111100000015,0194f3a2-1000-7a1b-9cde-123456789abc,Business Studies,BST301,019e7b12-b66b-74e6-a839-833bba4e0ebd,0194f3a2-6002-7a1b-9cde-dddd00000015,true,6.0,Business Studies for Grade 11,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
